family,L,unit,mean_activation,flag
nb_sigmoid,5,h4,0.4217,active
nb_sigmoid,6,h0,0.2373,active
nb_sigmoid,6,h1,0.5918,active
nb_sigmoid,6,h2,0.2539,active
nb_sigmoid,6,h3,0.8126,active
nb_sigmoid,6,h4,0.4091,active
nb_sigmoid,6,h5,0.5728,active
nb_sigmoid,7,h0,0.4096,active
nb_sigmoid,7,h1,0.618,active
nb_sigmoid,7,h2,0.352,active
nb_sigmoid,7,h3,0.6787,active
nb_sigmoid,7,h4,0.4456,active
nb_sigmoid,7,h5,0.2834,active
nb_sigmoid,7,h6,0.3111,active
nb_sigmoid,8,h0,0.8596,active
nb_sigmoid,8,h1,0.5697,active
nb_sigmoid,8,h2,0.6213,active
nb_sigmoid,8,h3,0.4945,active
nb_sigmoid,8,h4,0.4067,active
nb_sigmoid,8,h5,0.409,active
nb_sigmoid,8,h6,0.6051,active
nb_sigmoid,8,h7,0.1909,active
nb_softmax,4,h0,0.1638,active
nb_softmax,4,h1,0.3976,active
nb_softmax,4,h2,0.2727,active
nb_softmax,4,h3,0.1658,active
nb_softmax,5,h0,0.2659,active
nb_softmax,5,h1,0.3092,active
nb_softmax,5,h2,0.169,active
nb_softmax,5,h3,0.1072,active
nb_softmax,5,h4,0.1488,active
nb_softmax,6,h0,0.0,absorber_lo
nb_softmax,6,h1,0.1661,active
nb_softmax,6,h2,0.1362,active
nb_softmax,6,h3,0.1604,active
nb_softmax,6,h4,0.2594,active
nb_softmax,6,h5,0.2778,active
nb_softmax,7,h0,0.2284,active
nb_softmax,7,h1,0.0883,absorber_lo
nb_softmax,7,h2,0.2752,active
nb_softmax,7,h3,0.0751,absorber_lo
nb_softmax,7,h4,0.1539,active
nb_softmax,7,h5,0.0529,absorber_lo
nb_softmax,7,h6,0.1262,active
nb_softmax,8,h0,0.3033,active
nb_softmax,8,h1,0.1363,active
nb_softmax,8,h2,0.0973,absorber_lo
nb_softmax,8,h3,0.0,absorber_lo
nb_softmax,8,h4,0.1112,active
nb_softmax,8,h5,0.0,absorber_lo
nb_softmax,8,h6,0.2736,active
nb_softmax,8,h7,0.0783,absorber_lo
zinb,10,h0,0.3114,active
zinb,10,h1,0.4199,active
zinb,10,h2,0.2215,active
zinb,10,h3,0.4569,active
zinb,10,h4,0.2534,active
zinb,10,h5,0.3222,active
zinb,10,h6,0.5836,active
zinb,10,h7,0.2888,active
zinb,10,h8,0.2132,active
zinb,10,h9,0.4975,active
zinb,5,h0,0.4269,active
zinb,5,h1,0.7218,active
zinb,5,h2,0.2927,active
zinb,5,h3,0.342,active
zinb,5,h4,0.659,active
zinb,6,h0,0.4959,active
zinb,6,h1,0.2359,active
zinb,6,h2,0.4958,active
zinb,6,h3,0.5839,active
zinb,6,h4,0.1031,active
zinb,6,h5,0.5088,active
zinb,7,h0,0.1341,active
zinb,7,h1,0.3317,active
zinb,7,h2,0.6976,active
zinb,7,h3,0.6205,active
zinb,7,h4,0.5998,active
zinb,7,h5,0.2154,active
zinb,7,h6,0.2984,active
zinb,8,h0,0.2905,active
zinb,8,h1,0.5484,active
zinb,8,h2,0.2798,active
zinb,8,h3,0.2485,active
zinb,8,h4,0.4016,active
zinb,8,h5,0.5308,active
zinb,8,h6,0.568,active
zinb,8,h7,0.1175,active
zinb,9,h0,0.5936,active
zinb,9,h1,0.2513,active
zinb,9,h2,0.2534,active
zinb,9,h3,0.3494,active
zinb,9,h4,0.1879,active
zinb,9,h5,0.2331,active
zinb,9,h6,0.2086,active
zinb,9,h7,0.4691,active
zinb,9,h8,0.3641,active
zinb_relu,10,h0,0.0,absorber_lo
zinb_relu,10,h1,1.4419,absorber_hi
zinb_relu,10,h2,0.8465,active
zinb_relu,10,h3,1.3945,absorber_hi
zinb_relu,10,h4,3.5935,absorber_hi
zinb_relu,10,h5,1.0307,absorber_hi
zinb_relu,10,h6,3.1147,absorber_hi
zinb_relu,10,h7,2.02,absorber_hi
zinb_relu,10,h8,2.8372,absorber_hi
zinb_relu,10,h9,1.1524,absorber_hi
zinb_relu,4,h0,3.3209,absorber_hi
zinb_relu,4,h1,1.9675,absorber_hi
zinb_relu,4,h2,0.7022,active
zinb_relu,4,h3,2.8388,absorber_hi
zinb_relu,5,h0,1.9992,absorber_hi
zinb_relu,5,h1,3.0883,absorber_hi
zinb_relu,5,h2,2.0285,absorber_hi
zinb_relu,5,h3,0.6451,active
zinb_relu,5,h4,3.4963,absorber_hi
zinb_relu,6,h0,0.6239,active
zinb_relu,6,h1,3.3072,absorber_hi
zinb_relu,6,h2,2.1817,absorber_hi
zinb_relu,6,h3,2.5184,absorber_hi
zinb_relu,6,h4,1.4952,absorber_hi
zinb_relu,6,h5,3.5368,absorber_hi
zinb_relu,7,h0,1.33,absorber_hi
zinb_relu,7,h1,2.8336,absorber_hi
zinb_relu,7,h2,3.4119,absorber_hi
zinb_relu,7,h3,0.6015,active
zinb_relu,7,h4,3.0031,absorber_hi
zinb_relu,7,h5,3.3448,absorber_hi
zinb_relu,7,h6,2.6286,absorber_hi
zinb_relu,8,h0,1.9244,absorber_hi
zinb_relu,8,h1,0.7478,active
zinb_relu,8,h2,2.2999,absorber_hi
zinb_relu,8,h3,2.7208,absorber_hi
zinb_relu,8,h4,2.4929,absorber_hi
zinb_relu,8,h5,3.2971,absorber_hi
zinb_relu,8,h6,3.7066,absorber_hi
zinb_relu,8,h7,2.7102,absorber_hi
zinb_relu,9,h0,3.4795,absorber_hi
zinb_relu,9,h1,2.522,absorber_hi
zinb_relu,9,h2,3.1403,absorber_hi
zinb_relu,9,h3,0.7234,active
zinb_relu,9,h4,3.5245,absorber_hi
zinb_relu,9,h5,2.3368,absorber_hi
zinb_relu,9,h6,2.5753,absorber_hi
zinb_relu,9,h7,2.2582,absorber_hi
zinb_relu,9,h8,3.0908,absorber_hi
zinb_sigmoid,4,h0,0.6178,active
zinb_sigmoid,4,h1,0.4486,active
zinb_sigmoid,4,h2,0.5995,active
zinb_sigmoid,4,h3,0.4211,active
zinb_sigmoid,5,h0,0.4146,active
zinb_sigmoid,5,h1,0.6087,active
zinb_sigmoid,5,h2,0.5258,active
zinb_sigmoid,5,h3,0.5065,active
zinb_sigmoid,5,h4,0.8975,active
zinb_sigmoid,6,h0,0.3289,active
zinb_sigmoid,6,h1,0.3055,active
zinb_sigmoid,6,h2,0.2671,active
zinb_sigmoid,6,h3,0.4915,active
zinb_sigmoid,6,h4,0.4411,active
zinb_sigmoid,6,h5,0.5493,active
zinb_sigmoid,7,h0,0.1541,active
zinb_sigmoid,7,h1,0.2901,active
zinb_sigmoid,7,h2,0.395,active
zinb_sigmoid,7,h3,0.4687,active
zinb_sigmoid,7,h4,0.248,active
zinb_sigmoid,7,h5,0.6521,active
zinb_sigmoid,7,h6,0.1788,active
zinb_sigmoid,8,h0,0.2993,active
zinb_sigmoid,8,h1,0.3121,active
zinb_sigmoid,8,h2,0.5894,active
zinb_sigmoid,8,h3,0.3967,active
zinb_sigmoid,8,h4,0.2845,active
zinb_sigmoid,8,h5,0.7572,active
zinb_sigmoid,8,h6,0.1441,active
zinb_sigmoid,8,h7,0.568,active
zinb_softmax,4,h0,0.3002,active
zinb_softmax,4,h1,0.1185,active
zinb_softmax,4,h2,0.3554,active
zinb_softmax,4,h3,0.2259,active
zinb_softmax,5,h0,0.3392,active
zinb_softmax,5,h1,0.2704,active
zinb_softmax,5,h2,0.1999,active
zinb_softmax,5,h3,0.1025,active
zinb_softmax,5,h4,0.0879,absorber_lo
zinb_softmax,6,h0,0.0001,absorber_lo
zinb_softmax,6,h1,0.0882,absorber_lo
zinb_softmax,6,h2,0.1486,active
zinb_softmax,6,h3,0.1688,active
zinb_softmax,6,h4,0.1962,active
zinb_softmax,6,h5,0.3981,active
zinb_softmax,7,h0,0.0,absorber_lo
zinb_softmax,7,h1,0.0686,absorber_lo
zinb_softmax,7,h2,0.3048,active
zinb_softmax,7,h3,0.0799,absorber_lo
zinb_softmax,7,h4,0.1705,active
zinb_softmax,7,h5,0.1891,active
zinb_softmax,7,h6,0.1871,active
zinb_softmax,8,h0,0.2986,active
zinb_softmax,8,h1,0.1956,active
zinb_softmax,8,h2,0.0904,absorber_lo
zinb_softmax,8,h3,0.0,absorber_lo
zinb_softmax,8,h4,0.0862,absorber_lo
zinb_softmax,8,h5,0.0,absorber_lo
zinb_softmax,8,h6,0.263,active
zinb_softmax,8,h7,0.0662,absorber_lo
