,h0,h1,h2,h3,h4,h5,h6,h7
pediastrum,0.0015486757984939556,0.0031904961472512356,0.003036461337539929,0.001900525998953459,0.001821718092214533,0.0013621664342576053,0.0011046786320891675,0.0029646043362865425
pennate_diatom,0.0007290918262549438,0.001966812626087577,0.025223045923335276,0.0018183794836052298,0.0033689573943702276,0.01268200260763946,0.006770320874312629,0.010799870641085887
peridinium,0.009113094394164205,0.013133123596333783,0.02770241822166345,0.021760259192533594,0.009194062069799442,0.015647583966598072,0.003756469936812806,0.010111454778111808
phacotus,0.0054448374177520666,0.009221141763788231,0.010503403179044947,0.0055740443909297185,0.010196973406671538,0.015140898170503682,0.003035843136836621,0.009915032243993158
plankton_x,4.119550000823887e-05,4.067423389917168e-05,3.997095090638291e-05,3.0002248650677574e-05,6.010161793180102e-05,2.7902381155156697e-05,2.5160622068651852e-05,3.636199003300412e-05
plankton_y,0.0041589597969162555,0.0035554018569691663,0.0055469561830767174,0.008813002024743458,0.004072538079660546,0.005529936200483212,0.0080690669009744,0.002744696784278257
plankton_z,0.00499903357798665,0.009169576922754672,0.008834271761540337,0.0008202053418172918,0.0029189376825211927,0.011320636235966691,0.006020436089098615,0.01378851935317907
planktosphaeria,0.0004934175040350365,0.0008670896185537265,0.0004938712934765393,0.0008575324476790747,0.0012673669854792726,0.0024554013915357733,0.0014607235832186415,0.0006303694432207013
polyarthra,0.01209820581724845,0.0021798389389877312,0.004255206674830161,0.0012903604054578942,0.010323126485870202,0.007243902451160687,0.01011747765442526,0.0014569721724672117
protist_like_ciliate,0.02517714688126974,0.02822182925034357,0.03798842923465116,0.02678382108523811,0.021056990418352847,0.030308658945527416,0.01646261560108169,0.022187363543044736
rhodomonas,0.06985981735535898,0.04859745808100413,0.05219488997369379,0.07294752572106217,0.06553197290815703,0.044519870912759704,0.07328621489041051,0.04317474941236856
rotifer,0.06018817146823384,0.031714153554561746,0.04059931602458338,0.0260109883983844,0.050732398074451936,0.045582938156943476,0.04779754693728186,0.027836659664389293
rotifer_long,0.00015768825015580892,0.00022425646971284356,0.0004027963570240394,0.00010912206661117139,0.00022896180618015965,0.00019468188383734195,8.867685616414993e-05,0.00019492104195884403
rotifer_z,0.00016849902514790005,0.00017241136835350346,0.00014237440239076764,5.6655880073661434e-05,0.00025730302183730184,0.00023162420595049496,3.99078860610319e-05,0.00021016643410433055
scenedesmus,0.002866706862595238,0.010889268789672389,0.004998004096636803,0.0034868403128550302,0.004520467507438422,0.005433098202099097,0.002482955786278125,0.011875227427790682
snowella,0.00038060692963180087,0.002698126423366299,0.0015818569843587932,0.0004971183995530023,0.0001722141298964718,0.000477017020737028,0.00011190715243457409,0.0002340848296419417
staurastrum,0.003229837187593608,0.003383066778442507,0.005062467765463758,0.002505467749621832,0.0034536025084048218,0.004207176124277809,0.00441235485060722,0.005792004538462531
strombidium,0.00658388803308546,0.004661078880986638,0.009351256218435355,0.004565900749410486,0.0076439897549327425,0.006794839785938036,0.0048558104270933836,0.004284362948334089
synchaeta,0.0018547275381388456,0.0008810240785737552,0.0013139654820209913,0.0006853408918961543,0.001039603256888106,0.007133838214418182,0.007203094936635966,0.0006046474512576717
synedra,0.0032940667698385766,0.003267647562124493,0.0007633991260251181,0.0006146242986076866,0.0009446614344689946,0.004557171929133099,0.002601183412935417,0.0015405721914239054
synedra_angustissima,0.0005455911255664505,0.000986769203504877,0.0024773242344832387,0.002571550972346785,0.0025697317974735785,0.006780131331364171,0.009722022552467543,0.0014310209453647046
synura,0.00018195628743541666,0.00014894635817648384,0.00017855974879001077,0.00020092464128900416,8.679502538838502e-05,0.00017262415797548216,0.0002510316242846992,0.0007008979613709511
tetraedron,0.004188837687522231,0.012384934104923723,0.006019745492374903,0.0029529251954615895,0.004266078742521299,0.00364256811643851,0.00304099704738029,0.006107475350805643
tintinnid,0.0019037197292865033,0.0017186899931334126,0.004066945303756266,0.003420881839484872,0.0024643102375348164,0.002967871128344286,0.005633217399011323,0.0019428189673163642
trichocerca,0.003229942685550811,0.004999599939896744,0.004093565361491665,0.0019745613236073502,0.003644148245112197,0.003084748201497739,0.0013131853097566486,0.002335865982078083
uroglena,0.02475446047678525,0.008528310125412315,0.00017483751433247164,0.0011715884230771017,0.009493233133998667,0.0022721858371050107,0.0007729671198224402,0.013155299150796563
vorticella_epistylis_like,0.001550530936981822,0.003462595771308928,0.005215025108734111,0.0049619701718888794,0.0017893481854897243,0.0032851843758665363,0.0033576460025965026,0.0018937299786484431
