,h0,h1,h2,h3,h4,h5,h6,h7
didinium,0.004104554928882525,0.009729491882354844,0.013944096798790443,0.004155119017946155,0.004531008231860838,0.0161527836716769,0.0035296163861915776,0.0049820100042156385
dinobryon,0.5764328382652066,0.2998741158551087,0.202159761732223,0.0911482006748548,0.20536544652869296,0.8815754162929862,0.14427182747161268,0.6975770736227178
dinoflagellate_diamond,0.02248194855068253,0.01282099850829878,0.07418412969102353,0.07935949282885668,0.0982094664959106,0.04169893949807386,0.6396216464590391,0.015219267488806622
dolichospermum,0.015385660789528945,0.021360156747447213,0.04760673314576835,0.06735703130206949,0.022647487878677028,0.08297497551867185,0.02374448126449047,0.17965143150055135
eudiaptomus,0.13323305652291298,0.1687612720112174,0.1117377416107989,0.1013543506475812,0.13035766957920417,0.13275697314293147,0.19460796062700184,0.16224563517195792
fragilaria,0.03762738299897229,0.16272162620250735,0.11335199464084597,0.2998102171439627,0.3954877548100248,0.6827013402881325,0.017988031360859802,0.3650604464589672
gonium,0.001552564459662697,0.010869112981173963,0.012757683194526715,0.000525517212022345,0.010567183293012827,0.01612518567988369,0.0004887864384058158,0.016146141148830746
gymnodinium,0.2685239808520275,0.33772898169820403,0.45643450408894626,0.34267508828402277,0.48806308389004605,0.5303095710860044,0.41727841717117886,0.3702585470314801
kellicottia,0.11915178401435512,0.04107097804046088,0.13016852295477108,0.08779700063038388,0.15021954060981263,0.17574705609661556,0.19042552535152674,0.09526380291954685
keratella_cochlearis,0.08410996459709678,0.07495651522466353,0.10534010434815946,0.07676666485188888,0.0790801901229728,0.16239599996698795,0.05414541326118443,0.12157582762982205
keratella_quadrata,0.060342743524777184,0.00854306644064627,0.05142627721747383,0.021376197017991552,0.07568063406057546,0.15944079050351884,0.0336991649204274,0.04845658761425341
leptodora,0.007466599921922899,0.0381917547082561,0.008450497013355505,0.013315803083374862,0.019001980221953107,0.014875559309311392,0.005953013223180742,0.017360175160124138
limnoraphis,0.01904044965923436,0.1168972920088819,0.057413870610919696,0.07952581939768387,0.04660113732966363,0.045942967488699804,0.015944810286795456,0.027664531144084292
mallomonas_akrokomos,0.18661067521980682,0.14966926310849055,0.15063344193610545,0.05169594410931064,0.06432746169714458,0.22850100001698795,0.13281288236407776,0.032292608042413594
mallomonas_big,0.28751845146358196,0.4293780102797265,0.31281903920682697,0.27068725183512576,0.21518353470067345,0.5427741990791821,0.36322794420833904,0.2930653872542872
nauplius,0.6667168804561084,0.47975059858656344,0.5633123845616542,0.40842649603738607,0.6863582484691653,0.6608568652392625,0.6663595911207854,0.5678973101290855
oocystaceae,0.7621009083070306,0.9732999104400457,0.8329890269883166,0.8517469192172531,0.87761827044544,0.8678009819087863,0.6373276051793958,0.8485090047965519
pandorina,0.012328687932235478,0.012443222563492165,0.037279813238849914,0.010191384890183567,0.02800621685774296,0.04991561435634362,0.01058809331107833,0.02777431212937925
paradileptus,0.019621771727907047,0.054100830184293895,0.0354519731359625,0.046265329724848814,0.05973233051915723,0.1169135126239501,0.015954936389628718,0.09908363609811509
pediastrum,0.018308675909972053,0.047893089759921806,0.04052236639309524,0.02052446584314079,0.02461455364483429,0.024447993497529873,0.013845936446333154,0.04933915659738291
pennate_diatom,0.00861943214228095,0.02952416467367146,0.33660810885981485,0.01963733599102291,0.045520425396928806,0.22761500319614514,0.08485855508016087,0.17973950259395144
peridinium,0.10773635899908249,0.19714359090176686,0.36969597711475644,0.23499688864081839,0.12422763708511471,0.2808408880489976,0.04708323533814216,0.16828237232814805
phacotus,0.06436967876753501,0.1384201546717296,0.1401706475671745,0.06019611611353132,0.13777869913360183,0.2717469544909022,0.03805096786762472,0.16501336200811517
plankton_x,0.00048701933570187455,0.0006105679634584079,0.0005334227370802384,0.0003240051059482129,0.0008120765254767166,0.0005007884615940149,0.0003153608334524579,0.0006051633597345793
plankton_y,0.04916784204827883,0.05337075251293457,0.07402557313612562,0.09517478799657675,0.0550270140373782,0.09925060614553444,0.1011369137111035,0.04567929109267455
