,h0,h1,h2,h3,h4,h5,h6,h7
coleps,5.7189666149148874e-05,6.47784316906619e-05,9.543301535303473e-05,6.425388549180599e-05,2.4536746642459994e-05,2.056019579757205e-05,3.574927723972404e-05,6.624083776949525e-05
collotheca,0.00018639755890209825,0.00031612738127496524,0.0009690264717307219,0.00023012376467690022,0.00020316008056777137,0.00033596464189684255,8.075326163228905e-05,0.0009288605645106939
conochilus,0.000644881152911527,5.8020301859756534e-05,9.557090137271545e-05,5.680814359017262e-05,0.00014212924669468216,0.00015338576426030277,0.00047027073140755286,0.00015906926196718226
cosmarium,0.003969035921232928,0.002781199813400853,0.005546405292856341,0.0027478626402774237,0.0028842840472690806,0.003771727735079386,0.0014436092363014285,0.004204015070174254
cryptophyte,0.30345819852713346,0.12338616340395821,0.2337576053135096,0.23031455181727242,0.3483933637440566,0.19934727649845774,0.38329759833269256,0.22076229781546544
cyanobacteria_colonial_blue,0.0316611034539492,0.04911790077825789,0.03171540872234195,0.04212406536849199,0.06922183692156675,0.07198941011748121,0.00370809461798914,0.010136321295269438
cyanobacteria_colonial_clathrate,0.000124132378520806,0.00012792174789253926,0.00013805228363277466,9.288122882991095e-05,0.000495657990761684,0.00031749532956659634,4.287532187999893e-05,0.0002805710531413873
cyanobacteria_colonial_probably,0.011950051923770712,0.03474600994936747,0.004447931368016933,0.00980126940760323,0.005473378691643966,0.002816160490301789,0.005773463354836196,0.10031323420701606
cyanobacteria_filamentous,0.00048258797438189026,0.00011725595964336784,0.0010194993793567367,0.0027275955759630964,0.00016580728218673673,0.000311695217023575,0.00864403553648227,0.023189758074882563
cyclops,0.027700810871631766,0.007711327769669714,0.021139534882213186,0.017525137676702364,0.02046503613009188,0.014509843501484999,0.016363566861466117,0.018234312106799332
daphnia,0.004706592199118219,0.003807830227957431,0.0027626107051874752,0.007170696942697697,0.005524005504110337,0.0049045558495280665,0.0050317151581427905,0.005386308273445215
daphnia_cucullata,0.00031560786998688736,0.0013088015186748317,0.00034344985322434985,0.002696133112733335,0.0002520607094565251,0.0005677074927918533,0.00016284949142988126,0.000295224065947072
diaphanosoma,0.0024873379061702387,0.0021173976048229175,0.0015905132076182691,0.0004939294727874311,0.000653712189044252,0.0006804269748914696,0.00015825631111153002,0.0014665194065400962
didinium,0.00010220660416609403,0.00010085450171906536,0.00031310359448155677,0.00013303622582331283,6.514313299002075e-05,0.0002091658002956264,6.362514043953113e-05,8.131075582115214e-05
