date,pattern
2020-02-13,100101
2020-02-14,100101
2020-02-15,100101
2020-02-16,100101
2020-02-17,100101
2020-02-18,100101
2020-02-19,100101
2020-02-20,100101
2020-02-21,100101
2020-02-22,100101
2020-02-23,100001
2020-02-24,100001
2020-02-25,100001
2020-02-26,100001
2020-02-27,100001
2020-02-28,100001
2020-02-29,100001
2020-03-01,100001
2020-03-02,100001
2020-03-03,100001
2020-03-04,100001
2020-03-05,100001
2020-03-06,100001
2020-03-07,100001
2020-03-08,100001
2020-03-09,100001
2020-03-10,100101
2020-03-11,100101
2020-03-12,100101
2020-03-13,100101
2020-03-14,110101
2020-03-15,110101
2020-03-16,110101
2020-03-17,110101
2020-03-18,110101
2020-03-19,110101
2020-03-20,110101
2020-03-21,110101
2020-03-22,100101
2020-03-23,110101
2020-03-24,100101
2020-03-25,110101
2020-03-26,110101
2020-03-27,110101
2020-03-28,111101
2020-03-29,111101
2020-03-30,110101
2020-03-31,110101
2020-04-01,111101
2020-04-02,111101
2020-04-03,111101
2020-04-04,111101
2020-04-05,111101
2020-04-06,111011
2020-04-07,111011
2020-04-15,111101
2020-04-16,111101
2020-04-17,111101
2020-04-18,111101
2020-04-20,111101
2020-04-21,111101
2020-04-22,111101
2020-04-24,110101
2020-04-26,110101
2020-04-28,110101
2020-04-29,110101
2020-04-30,110101
2020-05-01,110101
2020-05-02,110101
2020-05-04,110101
2020-05-05,110101
2020-05-06,110101
2020-05-07,110101
2020-05-10,110101
2020-05-11,110101
2020-05-14,110101
2020-05-15,110101
2020-05-16,110101
2020-05-17,110101
2020-05-18,110101
2020-05-20,110101
2020-05-21,110101
2020-05-23,110101
2020-05-24,110101
2020-05-25,110101
2020-05-26,110110
2020-05-29,110110
2020-05-30,110110
2020-05-31,110110
2020-06-01,010110
2020-06-02,010110
2020-06-03,110110
2020-06-04,110110
2020-06-05,110110
2020-06-06,110110
2020-06-08,110110
2020-06-10,110110
2020-06-12,110110
2020-06-13,110110
2020-06-14,110110
2020-06-15,110110
2020-06-17,110010
2020-06-18,100010
2020-06-19,100010
2020-06-20,100010
2020-06-21,100010
2020-06-22,100010
2020-06-23,100010
2020-06-24,100010
2020-06-25,100010
2020-06-26,110110
2020-06-27,110110
2020-06-29,110110
2020-06-30,110110
2020-07-01,110100
2020-07-02,110110
2020-07-03,110110
2020-07-04,110110
2020-07-05,110110
2020-07-06,110110
2020-07-07,010110
2020-07-08,010110
2020-07-09,010110
2020-07-10,010110
2020-07-11,010110
2020-07-12,010110
2020-07-13,010110
2020-07-14,110110
2020-07-15,110110
2020-07-17,110100
2020-07-18,110100
2020-07-19,110100
2020-07-20,110100
2020-07-25,110100
2020-07-26,110100
2020-07-27,110100
2020-07-28,110100
2020-07-29,110100
2020-07-30,110100
2020-07-31,110100
2020-08-01,110100
2020-08-02,110100
2020-08-04,110100
2020-08-05,110100
2020-08-06,110100
2020-08-08,110100
2020-08-10,110100
2020-08-11,110100
2020-08-13,110100
2020-08-14,110100
2020-08-16,110100
2020-08-17,110100
2020-08-18,110100
2020-08-19,110100
2020-08-20,110100
2020-08-21,110100
2020-08-22,110100
2020-08-23,110100
2020-08-24,110100
2020-08-25,110110
2020-08-26,110110
2020-08-27,110110
2020-08-28,110110
2020-08-29,110110
2020-08-30,110110
2020-08-31,110110
2020-09-01,110110
2020-09-02,110110
2020-09-03,110110
2020-09-04,110110
2020-09-05,110110
2020-09-06,110110
2020-09-07,110110
2020-09-08,110110
2020-09-09,110110
2020-09-10,110010
2020-09-11,110010
2020-09-12,110010
2020-09-13,110010
2020-09-14,110010
2020-09-15,110010
2020-09-16,110010
2020-09-17,110010
2020-09-18,110010
2020-09-19,110000
2020-09-20,110010
2020-09-21,110000
2020-09-22,110000
2020-09-23,110100
2020-09-24,110100
2020-09-25,110100
2020-09-26,110100
2020-09-27,110100
2020-09-28,110100
2020-09-29,110100
2020-09-30,110100
2020-10-01,110100
2020-10-02,110100
2020-10-03,110100
2020-10-04,110100
2020-10-05,110100
2020-10-06,110100
2020-10-07,110100
2020-10-08,110100
2020-10-09,110100
2020-10-10,110100
2020-10-11,110100
2020-10-12,110100
2020-10-13,110100
2020-10-14,110100
2020-10-15,110100
2020-10-16,110100
2020-10-17,110100
2020-10-18,110100
2020-10-19,110100
2020-10-20,110100
2020-10-21,110100
2020-10-22,110100
2020-10-23,110100
2020-10-24,110100
2020-10-25,110100
2020-10-26,110100
2020-10-27,110100
2020-10-28,110100
2020-10-29,110100
2020-10-30,100100
2020-10-31,100100
2020-11-01,100100
2020-11-02,100100
2020-11-03,100100
2020-11-04,100100
2020-11-05,100100
2020-11-06,100100
2020-11-07,100100
2020-11-08,100101
2020-11-09,100100
2020-11-10,100101
2020-11-11,100101
2020-11-12,100100
2020-11-13,100101
2020-11-14,100101
2020-11-15,100101
2020-11-16,100101
2020-11-17,100101
2020-11-18,100101
2020-11-19,100100
2020-11-20,100101
2020-11-21,100100
2020-11-22,100101
2020-11-23,100100
2020-11-24,100101
2020-11-25,100101
2020-11-26,100101
2020-11-27,100101
2020-11-28,100101
2020-11-29,100101
2020-11-30,100101
2020-12-01,100101
2020-12-02,100101
2020-12-04,100101
2020-12-05,100101
2020-12-06,100101
2020-12-07,100101
2020-12-08,100101
2020-12-09,100101
2020-12-10,100101
2020-12-11,100101
2020-12-13,100101
2020-12-14,100101
2020-12-15,100101
2020-12-16,100101
2020-12-17,100101
2020-12-18,100101
2020-12-19,100101
2020-12-20,100101
2020-12-21,100101
2020-12-22,100101
2020-12-23,100101
2020-12-24,100101
2020-12-25,100101
2020-12-26,100101
2020-12-27,100101
2020-12-28,100101
2020-12-29,100101
2020-12-30,100101
2020-12-31,100101
2021-01-01,100101
2021-01-02,100101
2021-01-03,100101
2021-01-04,100101
2021-01-05,100101
2021-01-06,100101
2021-01-07,100101
2021-01-08,100101
2021-01-09,100101
2021-01-10,100101
2021-01-11,100101
2021-01-12,100101
2021-01-13,100101
2021-01-14,100101
2021-01-15,100101
2021-01-16,100101
2021-01-17,100101
2021-01-18,100101
2021-01-19,100101
2021-01-20,100101
2021-01-21,100101
2021-01-22,100101
2021-01-23,100101
2021-01-24,100101
2021-01-25,100101
2021-01-26,100101
2021-01-27,100101
2021-01-28,100001
2021-01-29,100001
2021-01-30,100001
2021-01-31,100001
2021-02-01,100001
2021-02-02,100001
2021-02-03,100001
2021-02-04,100001
2021-02-05,100001
2021-02-06,100011
2021-02-07,100001
2021-02-08,100001
2021-02-09,100001
2021-02-10,100001
2021-02-11,100001
2021-02-12,100001
2021-02-13,100001
2021-02-14,100001
2021-02-15,100001
2021-02-16,100001
2021-02-17,100001
2021-02-18,100001
2021-02-19,100001
2021-02-20,101101
2021-02-21,101101
2021-02-22,101101
2021-02-23,101101
2021-02-24,100101
2021-02-25,101101
2021-02-26,101101
