,h0,h1,h2,h3,h4,h5,h6,h7,h8
chroococcales,0.0034654252355391406,0.0031049900522014057,0.003792177992460851,0.016857656014420363,0.0014489657827865743,0.011095372384034116,0.004215828783618056,0.0003128054967976068,0.002464993044324743
chydorus,8.17920832009008e-05,3.153625855151507e-05,0.00016350580311469908,6.529303402372305e-05,9.028777609626662e-06,0.00012315284719634703,4.848794590065276e-05,0.0002666267649803207,2.5580292377128915e-05
ciliate,0.00020438122599638118,0.0003154768606716671,0.0006225078112472375,0.00022332119639363376,0.0005595878550051191,0.0001584577151633548,0.00019040406646699781,0.0003834059944863205,0.00022876076131140907
ciliate_big,1.2228905515486375e-05,1.9630517816409123e-05,1.359564592403568e-05,5.702547066210679e-06,6.124637853375416e-06,1.1299336911801112e-05,6.120274097464289e-06,1.579696706476593e-05,1.4149361894195695e-05
ciliate_blue,0.008963833965577532,0.011889495248750654,0.018427210596657587,0.007786925423463307,0.009420925742053015,0.007845981104826925,0.007609704389404052,0.006489342778662921,0.005811331766300256
ciliate_green,0.0019749736787824067,0.002249445838873044,0.002372096079464474,0.0019307125335530906,0.002917669684193575,0.0015252572946774213,0.0036539980144686297,0.0013523736632984195,0.006436092418481193
ciliate_round,0.0012627624167168717,0.0003453162849139189,0.0010308945636872376,0.00016935019413818136,0.0003025640425276119,0.000807147091504681,0.0005157736451369712,0.0017901650410127965,0.00045809439178447485
closterium,0.010265899193971561,0.014419445655350081,0.028999668837615747,0.007706627228756244,0.002224767420227201,0.007138053059665951,0.004537941712832427,0.008816875861888798,0.006425069944675593
coelastrum_reticulatum,0.0010700609361735908,0.0031409520547873724,0.015662009187417288,0.002198672825097754,0.0011547293309715422,0.031943720438663614,0.004872512436609516,0.001297350821635995,0.006561280063780675
coelosphaerium,0.00395222661896442,0.0043920363976608316,0.0016686653944376238,0.005880894585437524,0.0001979608704399262,0.022292408115548664,0.014390599719565057,0.0007091429301322542,0.0070702022591433485
