family,L,unit,n_days,fraction
bernoulli_zero,9,h0,12,0.0063
bernoulli_zero,9,h1,9,0.0047
bernoulli_zero,9,h2,222,0.1165
bernoulli_zero,9,h3,228,0.1196
bernoulli_zero,9,h4,196,0.1028
bernoulli_zero,9,h5,2,0.001
bernoulli_zero,9,h6,771,0.4045
bernoulli_zero,9,h7,171,0.0897
bernoulli_zero,9,h8,295,0.1548
nb,10,h0,30,0.0157
nb,10,h1,385,0.202
nb,10,h2,387,0.203
nb,10,h3,944,0.4953
nb,10,h4,0,0.0
nb,10,h5,4,0.0021
nb,10,h6,8,0.0042
nb,10,h7,75,0.0393
nb,10,h8,0,0.0
nb,10,h9,73,0.0383
nb,3,h0,760,0.3987
nb,3,h1,780,0.4092
nb,3,h2,366,0.192
nb,4,h0,1177,0.6175
nb,4,h1,477,0.2503
nb,4,h2,45,0.0236
nb,4,h3,207,0.1086
nb,5,h0,262,0.1375
nb,5,h1,775,0.4066
nb,5,h2,103,0.054
nb,5,h3,321,0.1684
nb,5,h4,445,0.2335
nb,6,h0,249,0.1306
nb,6,h1,702,0.3683
nb,6,h2,76,0.0399
nb,6,h3,109,0.0572
nb,6,h4,230,0.1207
nb,6,h5,540,0.2833
nb,7,h0,191,0.1002
nb,7,h1,542,0.2844
nb,7,h2,435,0.2282
nb,7,h3,257,0.1348
nb,7,h4,381,0.1999
nb,7,h5,27,0.0142
nb,7,h6,73,0.0383
nb,8,h0,282,0.148
nb,8,h1,141,0.074
nb,8,h2,680,0.3568
nb,8,h3,202,0.106
nb,8,h4,29,0.0152
nb,8,h5,175,0.0918
nb,8,h6,233,0.1222
nb,8,h7,164,0.086
nb,9,h0,152,0.0797
nb,9,h1,1125,0.5902
nb,9,h2,68,0.0357
nb,9,h3,144,0.0756
nb,9,h4,53,0.0278
nb,9,h5,155,0.0813
nb,9,h6,135,0.0708
nb,9,h7,1,0.0005
nb,9,h8,73,0.0383
nb_relu,10,h0,178,0.0934
nb_relu,10,h1,1485,0.7791
nb_relu,10,h2,17,0.0089
nb_relu,10,h3,226,0.1186
nb_relu,10,h4,0,0.0
nb_relu,10,h5,0,0.0
nb_relu,10,h6,0,0.0
nb_relu,10,h7,0,0.0
nb_relu,10,h8,0,0.0
nb_relu,10,h9,0,0.0
nb_relu,4,h0,504,0.2644
nb_relu,4,h1,1176,0.617
nb_relu,4,h2,182,0.0955
nb_relu,4,h3,44,0.0231
nb_relu,5,h0,721,0.3783
nb_relu,5,h1,845,0.4433
nb_relu,5,h2,340,0.1784
nb_relu,5,h3,0,0.0
nb_relu,5,h4,0,0.0
nb_relu,6,h0,798,0.4187
nb_relu,6,h1,576,0.3022
nb_relu,6,h2,19,0.01
nb_relu,6,h3,513,0.2692
nb_relu,6,h4,0,0.0
nb_relu,6,h5,0,0.0
nb_relu,7,h0,60,0.0315
nb_relu,7,h1,1765,0.926
nb_relu,7,h2,43,0.0226
nb_relu,7,h3,4,0.0021
nb_relu,7,h4,34,0.0178
nb_relu,7,h5,0,0.0
nb_relu,7,h6,0,0.0
nb_relu,8,h0,1139,0.5976
nb_relu,8,h1,0,0.0
nb_relu,8,h2,0,0.0
nb_relu,8,h3,150,0.0787
nb_relu,8,h4,0,0.0
nb_relu,8,h5,4,0.0021
nb_relu,8,h6,613,0.3216
nb_relu,8,h7,0,0.0
nb_relu,9,h0,1826,0.958
nb_relu,9,h1,0,0.0
nb_relu,9,h2,1,0.0005
nb_relu,9,h3,9,0.0047
nb_relu,9,h4,66,0.0346
nb_relu,9,h5,0,0.0
nb_relu,9,h6,4,0.0021
nb_relu,9,h7,0,0.0
nb_relu,9,h8,0,0.0
nb_sigmoid,4,h0,1171,0.6144
nb_sigmoid,4,h1,436,0.2288
nb_sigmoid,4,h2,90,0.0472
nb_sigmoid,4,h3,209,0.1097
nb_sigmoid,5,h0,413,0.2167
nb_sigmoid,5,h1,907,0.4759
nb_sigmoid,5,h2,292,0.1532
nb_sigmoid,5,h3,142,0.0745
nb_sigmoid,5,h4,152,0.0797
nb_sigmoid,6,h0,306,0.1605
nb_sigmoid,6,h1,148,0.0776
nb_sigmoid,6,h2,64,0.0336
nb_sigmoid,6,h3,1097,0.5756
nb_sigmoid,6,h4,0,0.0
nb_sigmoid,6,h5,291,0.1527
nb_sigmoid,7,h0,429,0.2251
nb_sigmoid,7,h1,452,0.2371
nb_sigmoid,7,h2,235,0.1233
nb_sigmoid,7,h3,238,0.1249
nb_sigmoid,7,h4,485,0.2545
