,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
rotifer_z,25.067978,18.147259,19.940947,24.95773,23.022442,20.490986,-25.04166,16.506548,21.596445,11.337226
scenedesmus,22.577034,14.996914,14.6593895,21.873613,20.747572,16.082037,-16.112545,11.847222,18.955887,4.3767962
snowella,24.975384,20.97411,21.485558,24.487535,25.079073,21.933891,-28.805492,15.243878,23.594782,7.1624694
staurastrum,23.405231,14.028481,14.418449,22.585588,19.993677,15.912087,-16.266432,15.555262,18.20563,5.5355177
strombidium,22.19052,14.336502,14.674514,22.664595,19.997723,15.773541,-16.24009,13.923016,18.74679,4.474733
synchaeta,-9.599871,-1.9403884,-10.368493,-8.416683,-11.068911,-5.2894316,2.495865,-4.4738483,-7.973245,-1.8149229
synedra,-9.43337,0.8488056,-3.6366932,-8.813406,-9.179569,-4.5901766,2.9140577,-6.647994,-7.9121056,-4.5749054
synedra_angustissima,-10.218348,0.28513137,-9.505418,-6.6258,-11.361996,-5.5366797,2.300436,-4.0953884,-6.369249,-3.5275884
synura,-1.193147,-1.0722362,-1.6333777,-0.5160075,-1.8729987,-0.9792456,1.2838765,-1.2972311,-1.2532451,-0.8056601
tetraedron,22.880873,15.032095,15.106631,21.992163,20.93327,16.48191,-16.313898,12.587046,19.298565,4.7143703
tintinnid,23.950089,15.483931,15.775017,22.904306,21.15381,17.116583,-17.98921,16.809643,19.672678,5.563231
trichocerca,23.12269,15.258891,15.860231,23.685484,21.015997,17.397,-17.173788,13.50129,19.73082,5.5521536
uroglena,-18.043604,-15.726896,1.6750836,-11.357949,-15.968313,-15.572519,7.3818116,-15.215284,-16.275688,-10.930086
vorticella_epistylis_like,24.013947,15.535689,15.827351,22.51893,20.736586,17.259012,-17.710203,15.482771,19.3949,5.386019
