date,h0,h1,h2
2023-06-30,0.0027999936,0.9999994,0.00022201314
2023-07-01,2.1637929e-05,0.9999882,2.183638e-08
2023-07-02,4.6701572e-08,0.9837323,2.7085883e-07
2023-07-03,2.2033739e-05,0.9999707,1.701404e-08
2023-07-04,0.00021526896,0.9999933,2.9931506e-08
2023-07-05,3.3577704e-05,0.999969,4.3762896e-09
2023-07-06,0.0001413112,0.99999,2.9411274e-05
2023-07-08,0.00039433554,0.9954814,8.150619e-05
2023-07-09,9.965278e-06,0.99965096,4.0404982e-05
2023-07-11,7.502823e-07,0.99937314,2.5423465e-06
2023-07-12,2.2851239e-06,0.99976724,4.7128854e-08
2023-07-14,1.3748589e-06,0.5368991,1.1833914e-08
2023-07-15,0.000104218496,0.99976665,9.47898e-06
2023-07-16,5.516322e-06,0.781883,5.7234264e-08
2023-07-17,0.14743951,0.9999989,4.0831997e-06
2023-07-19,0.9982943,1.0,1.133524e-05
2023-07-20,0.00081049977,0.9995906,4.6909443e-10
2023-07-21,5.6509358e-05,0.99969614,3.981688e-12
2023-07-22,6.6975424e-08,0.9976388,1.0778507e-10
2023-07-24,8.146427e-07,0.99938273,8.445632e-12
2023-07-25,2.8440267e-05,0.99995553,1.512119e-10
2023-07-26,0.0025622535,0.999998,1.6751013e-05
2023-07-27,8.40233e-07,0.97808576,1.2543816e-07
2023-07-28,1.8512213e-06,0.9937856,8.440381e-07
2023-07-29,5.0244525e-06,0.99192786,1.1824593e-06
2023-07-30,8.205973e-06,0.99653363,4.5722604e-08
2023-07-31,1.6067157e-05,0.50863135,1.3166928e-06
2023-08-01,9.090392e-05,0.98992926,1.4039027e-08
2023-08-02,1.616433e-06,0.9980596,8.773517e-11
2023-08-03,8.974359e-07,0.23406258,1.060947e-08
2023-08-04,5.90367e-06,0.9809326,5.713599e-08
2023-08-05,5.3240547e-07,0.9704283,5.5344757e-05
2023-08-06,2.7726247e-07,0.9567171,7.025465e-06
2023-08-07,7.149186e-07,0.006537574,2.2340112e-07
2023-08-08,2.1442652e-06,0.0022430024,0.23774086
2023-08-09,6.945677e-07,0.010673437,1.6407329e-06
2023-08-10,3.2878978e-07,0.008188778,2.2166935e-07
2023-08-11,1.8094777e-08,0.0015485163,1.1149761e-05
2023-08-12,1.9897993e-08,6.224987e-05,1.5260084e-05
2023-08-13,1.1168192e-06,0.5108734,1.5237963e-09
2023-08-14,1.6322755e-07,0.016662985,2.8353617e-07
2023-08-15,6.119061e-08,0.015841965,3.0318513e-06
2023-08-16,1.2028687e-08,0.0021920456,1.684377e-06
2023-08-17,3.17397e-08,0.5450667,3.11212e-10
2023-08-18,4.535321e-08,0.0035241335,3.5824826e-08
2023-08-19,8.574868e-07,0.60903585,2.3158682e-07
2023-08-20,7.963168e-05,0.9990984,4.93596e-13
2023-08-21,7.786418e-07,0.99948347,8.9232677e-10
2023-08-22,2.4199373e-06,0.9958157,1.2846754e-10
2023-08-23,0.00045269888,0.99976486,1.3218394e-11
2023-08-24,0.0002737634,0.99867743,2.3647293e-09
2023-08-25,1.1776959e-05,0.99093634,4.423672e-09
2023-08-27,3.6467682e-06,0.98542875,1.7860744e-09
2023-08-28,1.2908615e-05,0.3121186,7.331215e-08
2023-08-29,1.31932975e-05,0.9072518,2.2961629e-08
2023-08-30,8.1344865e-07,0.0061919456,4.132333e-07
2023-08-31,2.6668797e-08,2.0817604e-05,1.7019927e-05
2023-09-01,1.14972005e-08,0.038096465,1.9128348e-07
2023-09-02,3.8450344e-07,0.02386567,8.741573e-07
2023-09-03,8.6276295e-08,0.03134701,1.9216765e-08
2023-09-04,2.0288434e-08,0.0012790686,2.8636202e-06
2023-09-05,9.8644065e-11,0.00050347135,8.217889e-08
2023-09-06,5.014905e-09,0.005948937,2.2912094e-09
2023-09-07,1.2060572e-06,0.7175479,1.6790186e-07
2023-09-08,2.2977582e-07,0.069152445,4.6722306e-09
2023-09-09,3.784844e-08,0.00018881906,4.1359513e-06
2023-09-10,2.6455865e-07,0.57840484,2.3272508e-09
2023-09-11,1.5212363e-07,0.89920944,2.3913057e-07
2023-09-12,2.075143e-07,0.057934873,7.455353e-11
2023-09-13,5.4323427e-06,0.96423286,1.6850935e-06
2023-09-14,2.026423e-07,0.28068134,4.8965795e-08
2023-09-15,2.5680857e-08,0.0010437851,1.2174678e-05
2023-09-16,3.7146275e-08,2.2155144e-05,9.1606914e-08
2023-09-17,7.445173e-07,0.026871113,2.9956928e-07
2023-09-18,1.4896344e-08,0.08886912,2.8094297e-08
2023-09-19,1.7477918e-08,0.00035609643,3.380118e-07
2023-09-20,5.2441003e-09,0.00016565103,3.5940704e-07
2023-09-21,4.9309706e-10,8.579583e-06,1.0792342e-06
2023-09-22,1.0024517e-08,3.0995972e-05,0.005124881
2023-09-23,2.0878537e-09,2.7415294e-05,2.619129e-05
2023-09-24,1.4077464e-10,3.6847757e-06,5.6395747e-06
2023-09-25,4.5108417e-10,2.0374737e-06,1.4153234e-06
2023-09-26,2.1746798e-09,2.3339402e-05,1.3798409e-07
2023-09-27,2.5632677e-10,1.7017633e-06,3.3844339e-07
2023-09-28,2.8070168e-10,5.9271606e-06,5.013722e-05
2023-09-29,1.997829e-10,3.876074e-05,4.8185694e-08
2023-09-30,7.176665e-11,2.0904267e-06,1.1951983e-05
2023-10-01,7.4019674e-10,3.042478e-05,2.0951072e-08
2023-10-02,6.153066e-10,1.6374317e-05,9.289697e-07
2023-10-03,7.112947e-10,6.4082364e-05,3.9381648e-10
2023-10-04,1.7877761e-08,1.7451655e-06,0.0004903832
2023-10-05,1.4750243e-10,1.0520482e-06,3.901966e-07
2023-10-06,1.1508163e-09,1.7656595e-06,8.724502e-08
2023-10-07,3.0001776e-10,1.5891621e-05,7.2632656e-07
2023-10-08,3.1336642e-10,2.0185046e-06,6.3155916e-05
2023-10-09,2.1664246e-09,1.4293245e-05,2.9913794e-05
2023-10-10,7.5632345e-10,1.571666e-06,3.3374026e-06
2023-10-11,1.9017513e-10,2.047904e-05,1.0792944e-07
2023-10-12,8.819713e-10,4.169114e-05,7.5430144e-08
2023-10-13,1.0568223e-09,6.292189e-05,4.05168e-07
2023-10-14,1.3395762e-10,3.9412384e-06,1.6401165e-05
2023-10-15,5.568664e-08,0.0003222862,0.00091045327
2023-10-16,3.293188e-08,0.000105133404,1.5151067e-05
2023-10-17,2.4972424e-09,2.7718684e-06,0.0015169284
2023-10-18,6.3432537e-10,1.5905107e-06,0.0008460528
2023-10-19,2.3408791e-08,4.5504017e-05,0.00020101662
2023-10-20,1.698528e-08,7.877941e-05,5.5150147e-05
2023-10-21,2.2739528e-08,6.258176e-05,0.000374527
2023-10-22,4.8177792e-08,3.9571132e-05,0.00054777344
2023-10-23,3.0632958e-08,7.277078e-08,0.001083192
2023-10-24,1.717433e-07,1.5497361e-06,0.035221178
2023-10-25,5.629354e-07,3.6942652e-07,0.4471279
2023-10-26,2.0053099e-08,4.255799e-06,0.0003502332
2023-10-27,4.9376396e-08,3.299897e-05,0.0054440545
2023-10-28,5.372292e-09,1.3507234e-07,0.0018331235
2023-10-29,7.752229e-09,3.3822653e-05,0.00023501547
2023-10-30,1.9038879e-07,2.1074886e-05,0.02485521
2023-10-31,4.3428254e-06,1.0530104e-05,0.00084750034
2023-11-01,5.2438725e-08,4.9664213e-05,0.008546593
2023-11-02,2.7952868e-08,1.997235e-06,0.037559308
2023-11-03,1.7718751e-08,2.8672888e-05,2.1785227e-06
2023-11-04,1.2161692e-05,2.1200387e-05,0.005372703
2023-11-05,6.562137e-09,9.841854e-05,0.0011772537
2023-11-06,6.1399184e-08,1.3297256e-06,8.176917e-05
2023-11-07,2.735701e-06,3.3107647e-06,0.045348864
2023-11-08,2.1571092e-05,2.5296322e-07,0.5714444
2023-11-09,6.0448397e-09,1.0235889e-05,0.0110683385
2023-11-10,2.6139767e-06,2.5514183e-07,0.84899
2023-11-11,1.3169941e-06,4.5672928e-07,0.04284024
2023-11-12,1.7783368e-05,9.6196956e-08,0.99207133
2023-11-13,4.21872e-06,1.0482066e-06,0.47565705
2023-11-14,2.334086e-06,5.1920114e-07,0.9522902
2023-11-15,3.0081574e-05,1.1001184e-05,0.9483083
2023-11-16,4.6378645e-06,2.825425e-05,0.40389025
2023-11-17,0.0014655307,2.5342388e-05,0.99972206
2023-11-18,4.267847e-05,2.2126889e-07,0.24368356
2023-11-19,6.686116e-05,7.634828e-06,0.99795747
2023-11-20,5.0617968e-05,5.9210575e-05,0.9863622
2023-11-21,1.2709094e-05,4.587782e-05,0.7546493
2023-11-22,0.00017158348,0.00021303109,0.9903992
2023-11-23,0.00011886638,1.1860048e-05,0.9959734
2023-11-24,0.00061651604,3.62474e-07,0.99993837
2023-11-25,0.00016181589,2.1082933e-06,0.9998504
2023-11-26,0.333377,2.0137586e-05,0.9999993
2023-11-27,0.015533634,0.0036033238,0.9999999
2023-11-28,0.0014196301,0.010254466,0.9999858
2023-11-29,0.00017804893,0.0017071659,0.9999981
2023-11-30,4.901588e-06,2.1637554e-06,0.99946827
2023-12-01,0.009033241,0.00018880195,1.0
2023-12-02,0.3652233,0.00032902815,0.99999654
2023-12-03,0.38448784,0.0026294722,0.9999999
2023-12-04,0.0010619997,0.057266627,0.87256855
2023-12-05,0.036095437,0.050548512,0.6753683
2023-12-06,0.90178126,0.03035883,0.99998176
2023-12-07,0.086502016,0.0009275892,0.9999993
2023-12-08,0.0015046878,0.13424349,0.97954744
2023-12-09,0.009613015,0.00062340946,0.99905473
2023-12-10,0.9426419,0.0028641338,1.0
2023-12-11,0.0001299116,0.002122665,0.9972146
2023-12-12,0.0086085005,0.010145763,0.99999356
2023-12-13,0.36087683,0.1178439,1.0
2023-12-14,0.9949817,0.056858324,0.9999999
2023-12-15,0.0036748322,0.0065196105,0.9999988
2023-12-16,0.9807396,0.032095343,0.99972945
2023-12-17,0.006741128,0.07979717,0.99999917
2023-12-18,0.12414461,3.790548e-05,0.9999999
2023-12-19,0.29061866,0.55677134,0.99940634
2023-12-20,0.83588165,0.99559397,1.0
2023-12-21,0.0005563802,0.001512705,0.9999895
2023-12-22,0.80234164,0.9785175,0.9999999
