date,h0,h1,h2,h3,h4,h5,h6
2020-09-01,2.7955966e-06,8.6465234e-16,1.0,7.55657e-18,2.5527588e-17,1.0,5.7026745e-17
2020-09-02,1.1994983e-06,1.6440683e-14,1.0,2.308002e-18,3.9033267e-20,1.0,4.608133e-18
2020-09-03,1.0830822e-08,2.622316e-15,1.0,2.7521971e-19,3.2012248e-20,1.0,9.070215e-19
2020-09-04,1.3466526e-09,3.7050442e-17,1.0,6.270058e-21,7.362284e-19,1.0,7.016436e-19
2020-09-05,1.8409945e-07,1.0830689e-17,1.0,2.8519257e-19,5.027387e-19,1.0,3.2304177e-22
2020-09-06,1.0896163e-10,3.0883735e-13,1.0,3.3310955e-21,8.403714e-22,1.0,1.07074485e-17
2020-09-07,2.3960084e-07,1.1018089e-17,1.0,4.970895e-22,1.0319763e-21,1.0,1.0417352e-19
2020-09-08,8.377303e-08,5.0942275e-17,1.0,8.1540906e-20,1.1970867e-20,1.0,1.0708851e-22
2020-09-09,1.365909e-09,3.843623e-17,1.0,3.043696e-20,1.7881427e-21,1.0,1.5424174e-20
2020-09-10,1.1542331e-08,1.4786413e-17,1.0,9.139018e-19,1.791384e-23,1.0,1.2834729e-21
2020-09-11,4.395819e-11,2.2670005e-17,1.0,8.896939e-22,2.9923687e-23,1.0,1.7454917e-17
2020-09-12,1.6991832e-07,4.136901e-18,1.0,1.1593013e-19,4.7147193e-23,1.0,1.9512853e-21
2020-09-13,1.1478882e-08,1.9495112e-17,1.0,3.8127497e-18,8.882875e-20,1.0,9.030232e-20
2020-09-14,2.5449351e-06,4.4250126e-17,1.0,2.970881e-17,4.0917882e-21,1.0,5.119611e-17
2020-09-15,7.910019e-08,2.517153e-18,1.0,4.3666223e-18,2.3494577e-20,1.0,8.6722055e-20
2020-09-16,2.2313198e-07,4.8043845e-18,1.0,9.160798e-19,9.455379e-19,1.0,6.928092e-16
2020-09-17,2.5232472e-07,2.7993812e-18,1.0,6.48553e-19,1.06396e-20,1.0,2.1333402e-18
2020-09-18,2.6400517e-07,7.074481e-21,1.0,2.1679854e-18,8.875415e-22,1.0,5.4145675e-18
2020-09-19,1.6632182e-08,5.1834927e-19,1.0,2.5611339e-20,3.661077e-20,1.0,5.4619884e-19
2020-09-20,5.3360383e-09,6.60533e-18,1.0,1.0701528e-17,1.7064817e-18,1.0,4.218092e-18
2020-09-21,1.732267e-07,6.3018164e-18,1.0,2.691625e-18,2.4210625e-19,1.0,1.3651552e-22
2020-09-22,4.3743407e-06,3.4557343e-17,1.0,9.393798e-18,4.8767834e-19,1.0,1.929474e-19
2020-09-23,1.5163917e-05,3.0428084e-16,1.0,1.5943753e-19,2.6355598e-18,1.0,7.940055e-19
2020-09-24,1.2074878e-05,4.197248e-15,1.0,1.0640503e-18,2.5893908e-17,1.0,6.1634656e-20
2020-09-25,4.5522968e-09,9.0037087e-13,1.0,1.3916106e-18,4.755862e-18,1.0,9.9119175e-18
2020-09-26,0.00012019606,1.837531e-12,1.0,2.5477475e-18,7.589801e-16,1.0,5.0476547e-14
2020-09-27,0.00041134312,1.875612e-11,1.0,1.6797687e-18,1.2730383e-13,1.0,4.9341815e-09
2020-09-28,5.2387823e-06,1.0476284e-13,1.0,6.3802576e-19,1.1910947e-16,1.0,7.0744896e-11
2020-09-29,8.488344e-09,1.157895e-09,1.0,5.2820445e-17,1.4176037e-16,1.0,3.8447018e-13
2020-09-30,0.00010600398,8.327229e-13,1.0,1.1159742e-19,7.064864e-18,1.0,7.601678e-13
2020-10-01,5.5802936e-09,6.535095e-13,1.0,4.5946658e-20,3.9505494e-17,1.0,1.2953477e-12
2020-10-02,1.584326e-08,4.7422337e-09,1.0,8.1307987e-19,3.2194895e-17,1.0,4.830135e-16
2020-10-03,2.831195e-07,4.2009413e-11,1.0,3.3653013e-20,1.5272688e-15,1.0,1.02550905e-10
2020-10-04,8.409548e-06,1.0978476e-11,1.0,1.04005154e-19,3.640888e-17,1.0,1.1968656e-12
2020-10-05,5.6502305e-09,9.15831e-13,1.0,5.0676295e-19,7.654254e-18,1.0,1.6767682e-08
2020-10-06,1.9119594e-07,3.951147e-12,1.0,2.0232343e-21,3.9361985e-17,1.0,1.3158759e-10
2020-10-07,1.6758667e-08,3.1626708e-11,1.0,3.876694e-18,7.9777326e-19,1.0,4.8982045e-08
2020-10-08,4.6891962e-08,2.1188626e-11,1.0,3.226591e-20,2.0162197e-17,1.0,3.660281e-09
2020-10-09,2.748548e-10,2.3580047e-13,1.0,1.8012885e-20,6.4875405e-17,1.0,3.5892261e-12
2020-10-10,4.66632e-08,2.3542364e-15,1.0,2.4786278e-19,5.155802e-20,1.0,5.6137553e-11
2020-10-11,3.4084835e-10,3.7256837e-15,1.0,1.6882982e-20,1.8780753e-18,1.0,2.6850008e-10
2020-10-12,5.6376766e-06,1.8078699e-12,1.0,3.2222997e-19,1.1289954e-19,1.0,1.5087181e-08
2020-10-13,3.946272e-09,4.4527918e-13,1.0,2.425373e-17,1.8579698e-14,1.0,1.227419e-06
2020-10-14,4.1833475e-05,1.470585e-11,0.9999999,1.3540654e-16,5.830952e-14,1.0,0.004667911
2020-10-15,5.086814e-05,6.3188843e-10,1.0,2.4384523e-18,1.0221646e-16,1.0,1.2993991e-11
2020-10-16,6.6392386e-07,3.9145665e-14,1.0,8.5964786e-21,1.3023218e-15,1.0,1.0066176e-07
2020-10-17,9.5224655e-09,9.031017e-14,1.0,7.0229735e-18,2.217091e-15,1.0,7.6966964e-05
2020-10-18,1.939149e-10,1.0063909e-15,1.0,5.613853e-18,1.33946106e-14,1.0,9.441154e-09
2020-10-19,3.7473322e-09,5.3987236e-12,1.0,1.8584028e-21,1.6551418e-16,1.0,4.1102477e-10
2020-10-20,6.710605e-10,5.5253297e-15,1.0,1.5774498e-17,1.055688e-13,1.0,0.00082106417
2020-10-21,5.6318716e-10,2.52486e-15,1.0,5.6452304e-17,7.429041e-17,1.0,0.0014822276
2020-10-22,7.66905e-07,1.8415721e-13,1.0,5.8894386e-19,2.2787596e-15,1.0,1.2929215e-05
2020-10-23,9.994047e-09,7.3672074e-17,1.0,8.5334e-18,2.1159019e-15,1.0,1.3351858e-05
2020-10-24,0.00029936022,5.2404456e-11,1.0,2.2004321e-16,8.919603e-15,1.0,0.02739669
2020-10-25,1.7243267e-10,8.489383e-16,1.0,4.919788e-15,5.752117e-17,1.0,0.0074075423
2020-10-26,1.197084e-05,2.3655004e-13,1.0,6.5779785e-16,1.0675037e-15,1.0,0.0007073706
2020-10-27,0.938067,1.4198928e-09,0.9999913,1.1862673e-13,4.37914e-15,1.0,0.9590223
2020-10-28,0.00018583571,9.663294e-09,1.0,1.9090077e-15,1.3134037e-13,1.0,0.95723015
2020-10-29,0.11277652,7.632687e-08,0.99997115,1.3213736e-14,1.1560992e-12,1.0,0.99924123
2020-10-30,0.31851205,4.4116415e-08,0.999998,5.0366883e-15,6.2559437e-12,1.0,0.99821544
2020-10-31,0.25233078,2.1856547e-08,0.9999218,1.4573475e-14,4.895506e-07,1.0,0.98344654
2020-11-01,0.002879153,1.4977651e-12,1.0,7.061372e-15,3.5002454e-10,1.0,0.10760145
2020-11-02,0.003909242,2.6088458e-08,0.9999901,2.3643457e-13,2.2327706e-12,1.0,0.999785
2020-11-03,0.00081689685,1.1248007e-10,0.9983669,7.355769e-12,3.1376214e-07,1.0,0.9997812
2020-11-04,0.9979583,2.2486384e-09,0.9999925,5.040425e-12,0.23490813,0.9999999,0.9999864
2020-11-05,0.7652043,1.727875e-11,0.9999039,5.8558175e-10,0.000105671126,0.9999945,0.9999907
2020-11-06,5.6604065e-05,4.0547107e-07,0.47640648,9.700467e-09,0.009845862,0.9998927,0.9999999
2020-11-07,0.068400025,7.0063346e-09,0.0015776062,4.7616226e-08,0.0006606656,0.99999976,0.99999785
2020-11-08,0.0047739577,4.520531e-10,0.00030116024,4.4732565e-06,3.6184233e-06,0.9999951,0.9999999
2020-11-09,0.0024347757,4.8935005e-11,0.9940916,1.8233366e-11,0.0004240771,1.0,0.9999999
2020-11-10,0.009468453,1.9875139e-10,8.059288e-05,1.3994139e-05,2.0723495e-05,0.9999453,0.9999999
2020-11-11,6.0683746e-05,2.1451758e-08,0.0002636286,9.116852e-08,0.9804536,0.9999994,0.9999999
2020-11-12,0.016983112,1.8239349e-05,0.05660107,1.134753e-08,0.9998826,1.0,0.99999416
2020-11-13,3.8561716e-06,1.4023899e-09,0.34014693,3.576421e-11,0.0060541267,1.0,0.9999999
2020-11-14,1.6949896e-06,2.2182284e-08,0.0109285675,1.6039602e-10,0.21136135,1.0,0.9999963
2020-11-15,1.1546822e-06,3.4111305e-10,0.65286845,4.194778e-10,0.8838109,0.9999987,1.0
2020-11-16,2.7195108e-07,1.0905025e-09,0.0004008854,5.2886413e-08,0.9692462,0.9999994,0.99999917
2020-11-17,2.0749688e-07,8.344863e-09,0.65065634,2.7855949e-12,0.0153464805,1.0,0.9997367
2020-11-18,6.8472477e-06,5.125487e-12,0.04226989,1.9599169e-13,0.32820573,1.0,0.9992729
2020-11-19,1.717002e-06,2.2589795e-06,0.0003620681,1.9413769e-10,0.9247921,0.9999994,0.99998844
2020-11-20,9.015449e-06,3.957989e-05,3.5487555e-09,2.766468e-06,0.9998988,0.99999213,0.9997924
2020-11-21,1.4708054e-06,2.7013547e-07,0.3214937,1.8853985e-09,0.99493045,0.9999999,0.9999969
2020-11-22,8.644572e-05,6.546575e-07,1.5836135e-06,2.568462e-05,0.9857027,0.9999987,0.99983823
2020-11-23,3.2794614e-07,1.939553e-05,3.7862632e-05,6.3225047e-09,0.99989974,0.9999999,0.9999994
2020-11-24,2.3461045e-08,4.4195982e-05,6.9285164e-08,4.8645645e-05,0.999998,0.99999976,0.99999404
2020-11-25,8.3373925e-06,5.625303e-06,2.8023263e-07,0.00023792841,0.99999905,0.9999993,0.9999982
2020-11-26,0.00045641468,1.4759376e-08,6.00759e-07,0.00018154285,0.99999976,0.9999733,1.0
2020-11-27,3.1594373e-06,5.0846404e-07,2.9443917e-12,0.051659435,0.9999995,0.99993443,0.9999906
2020-11-28,5.7912235e-08,2.9108836e-07,7.438276e-12,0.0034586869,1.0,0.9999893,0.99999475
2020-11-29,0.00018410414,2.4824374e-06,2.782998e-08,0.038011197,1.0,0.9999994,0.99981254
2020-11-30,0.025576098,4.8722854e-05,2.2207934e-12,0.80522627,0.99999976,0.99990976,0.9999993
2020-12-01,0.0065960423,3.60726e-06,8.51208e-09,0.07964412,0.9999999,0.99788326,0.9999993
2020-12-02,0.37854972,1.3449459e-06,5.9925925e-10,0.9684711,0.9999999,0.97590953,0.99996865
2020-12-04,0.4036426,0.019351581,1.6186698e-13,0.9999198,0.99999964,0.98982847,0.99944216
2020-12-05,0.004576175,0.0004473173,6.3889137e-12,0.9042774,0.9999999,0.9998653,1.0
2020-12-06,1.6173766e-06,2.1636276e-06,4.9815503e-12,0.9827928,1.0,0.9996617,0.99997747
2020-12-07,0.034574818,0.00013758666,1.2204489e-15,0.9999769,1.0,0.99994946,0.99446106
2020-12-08,0.07214756,4.6131576e-05,8.9157977e-14,0.9999132,1.0,0.9997384,0.99979645
2020-12-09,1.721275e-05,3.5323721e-06,2.1640889e-11,0.9979329,0.99999964,0.99485767,0.9999087
2020-12-10,0.00018065683,9.759239e-05,2.3105186e-13,0.9999721,1.0,0.99998057,0.99999046
2020-12-11,0.0016699259,1.8719014e-05,1.0343341e-12,0.99983835,0.99999845,0.99990463,0.9992417
2020-12-13,0.07858145,3.1755273e-05,3.1184994e-15,0.9999194,0.9999999,0.98473316,0.95462114
2020-12-14,0.8729462,9.568761e-06,2.200378e-12,0.99899596,1.0,0.97580874,0.98709303
2020-12-15,0.9308458,8.1258963e-07,3.262912e-13,0.9998735,1.0,0.9999567,0.9973617
2020-12-16,0.44788384,0.0016288403,1.9871764e-14,0.99844944,0.99999976,0.9988418,0.9361452
2020-12-17,0.45496824,0.001687847,1.5517068e-12,0.99897623,1.0,0.9999869,0.73141843
2020-12-18,0.060617846,0.02273982,3.773298e-15,0.9999505,0.9999999,0.99996006,0.30174917
2020-12-19,0.05561591,0.0002289459,6.7755076e-16,0.9999938,1.0,0.999979,0.98974496
2020-12-20,0.00082378037,0.00017551247,1.9536579e-13,0.99996734,1.0,0.99980146,0.99700624
2020-12-21,0.06423536,0.0013129114,5.674511e-16,0.99998474,1.0,0.9998348,0.99723536
2020-12-22,0.5344778,0.017611433,4.335872e-15,0.99999726,0.9999999,0.99927455,0.29514188
2020-12-23,0.00014011329,0.0007615304,1.203716e-15,0.9999988,0.99999976,0.9999715,0.9993742
2020-12-24,0.2774271,0.055143308,2.7692317e-15,0.99999225,0.9999999,0.999984,0.8619406
2020-12-25,0.0059749465,1.4981018e-06,1.2825406e-10,0.99998236,0.99999976,0.999041,0.9985714
2020-12-26,0.061590627,0.0039031452,2.3424539e-17,0.99999964,0.9999893,0.96236175,0.033821877
2020-12-27,0.00016599128,0.01625878,2.8292548e-13,0.99999905,0.9999999,0.9997447,0.88338315
2020-12-28,0.007150253,0.32543367,1.798586e-17,0.9999999,0.99999964,0.9978796,0.30027914
2020-12-29,0.030829644,0.9476131,1.02931675e-17,0.9999939,1.0,0.84718215,0.054254256
2020-12-30,7.835636e-06,0.00022145417,3.6961788e-17,0.9999989,0.99999976,0.999902,0.03265491
2020-12-31,2.3157584e-06,0.00020651364,8.395593e-18,0.9999981,0.9999931,0.99988794,0.14926176
2021-01-01,2.265949e-06,0.012913347,1.7429835e-17,0.999876,0.9999999,0.9988612,0.19150868
2021-01-02,0.0012435872,0.10987971,7.031314e-17,0.9999958,1.0,0.75611246,0.06371461
2021-01-03,1.8960242e-07,2.2837577e-05,2.3044767e-16,0.99999547,0.9999906,0.9994886,0.0012183349
2021-01-04,0.00017123044,7.8002886e-05,6.904447e-14,0.99999833,0.9999969,0.999985,5.2281528e-05
2021-01-05,5.3284e-06,2.2727359e-06,2.2973495e-16,0.99999905,0.99999785,0.9999938,0.0022430622
2021-01-06,0.00039388487,0.0002705158,9.662651e-16,0.99999976,0.99999845,0.99965835,0.11790462
2021-01-07,7.7408e-05,0.00021802826,4.600915e-14,0.99999714,0.99999976,0.99999654,0.0071991365
2021-01-08,0.003079472,7.097625e-07,1.1404946e-15,0.9999982,0.99999976,0.9999839,1.5931164e-05
2021-01-09,2.25249e-05,0.07076602,1.436016e-17,0.99999833,1.0,0.99909616,2.75121e-08
2021-01-10,7.031451e-06,0.00010643952,2.3973152e-19,0.99999774,0.9999995,0.99999213,5.0493774e-05
2021-01-11,3.1165928e-05,0.00022969059,2.4898877e-18,0.99999845,1.0,0.99999356,3.0536526e-08
2021-01-12,0.001006378,0.001226962,3.4478092e-16,0.99999964,0.9999995,0.9999989,0.020505467
2021-01-13,7.845345e-05,0.0005281858,1.3370495e-17,0.9999901,0.9999995,0.9999298,0.00017973813
2021-01-14,0.010363773,0.0042051002,7.347782e-18,0.999966,1.0,0.9999621,0.0028013238
2021-01-15,0.020001633,1.6233618e-05,2.301516e-16,0.9999995,1.0,0.9998882,0.00077848794
2021-01-16,0.00017297683,0.00061616674,5.536504e-18,0.9999987,0.9999999,0.9999479,9.404138e-06
2021-01-17,0.0006019891,5.820097e-06,2.684112e-16,0.99999917,0.99999595,0.999373,1.18543625e-07
2021-01-18,6.1716114e-06,0.00069511257,5.6167476e-17,0.9999808,0.9999999,0.9999895,0.0065915324
2021-01-19,0.0016419571,9.220954e-06,5.868547e-16,0.9999919,0.99999845,0.9999708,4.2938966e-05
2021-01-20,0.0045938552,5.1383768e-06,3.6254764e-17,0.99999976,0.9999995,0.9999949,0.000105705396
2021-01-21,6.728036e-05,0.000101177786,1.567213e-15,0.9999881,0.9999999,0.9999994,0.00021919403
2021-01-22,0.00039235287,3.9207378e-05,6.8841226e-16,0.99999917,0.99999976,0.99998915,4.5939814e-05
2021-01-23,3.9078086e-06,2.276445e-06,6.5070495e-16,0.9999769,1.0,0.9999981,1.0178634e-06
2021-01-24,0.00011949461,5.7703346e-06,3.6742767e-17,0.9999993,1.0,0.9999788,3.6901834e-05
2021-01-25,0.00058159645,0.00043468017,9.482475e-18,0.99999917,1.0,0.99997866,0.00012671962
