date,h0,h1,h2,h3,h4
2020-11-14,1.0,0.998594,0.52215576,2.6320517e-05,5.6905254e-05
2020-11-15,1.0,0.99934703,0.6880066,2.442207e-05,3.8746144e-05
2020-11-16,1.0,0.99953604,0.41052753,1.846716e-05,2.4043127e-05
2020-11-17,1.0,0.9983064,0.3266233,5.2572e-05,3.7336446e-05
2020-11-18,1.0,0.9980324,0.19101934,2.911213e-05,3.6343085e-05
2020-11-19,1.0,0.9978618,0.11338847,1.0944426e-05,3.570869e-05
2020-11-20,1.0,0.99922526,0.36098367,1.1549471e-05,5.5194392e-05
2020-11-21,1.0,0.9983468,0.16326869,2.1025662e-05,4.559941e-05
2020-11-22,1.0,0.9988776,0.28603408,8.794103e-06,5.1855743e-05
2020-11-23,1.0,0.9990119,0.22974612,6.268333e-06,6.74475e-05
2020-11-24,1.0,0.9990852,0.6458584,7.23866e-06,6.609216e-05
2020-11-25,1.0,0.9992829,0.65036166,4.8504558e-06,0.00014788668
2020-11-26,1.0,0.99960464,0.7244385,5.708817e-06,8.706013e-05
2020-11-27,1.0,0.9991967,0.8900242,4.2789475e-06,0.00012371976
2020-11-28,1.0,0.99955887,0.9721701,9.6925005e-06,0.0001822121
2020-11-29,1.0,0.99947256,0.9464462,2.39462e-06,0.00014043927
2020-11-30,1.0,0.99960047,0.990351,3.5806288e-06,0.00021825475
2020-12-01,1.0,0.9997218,0.9956868,1.8330963e-06,0.00033132787
2020-12-02,1.0,0.9995048,0.99022067,1.3302176e-06,0.00019070477
2020-12-04,1.0,0.9994796,0.9970529,2.3081518e-06,0.00028816488
2020-12-05,1.0,0.99955326,0.9970271,2.5513455e-06,0.00024503938
2020-12-06,1.0,0.99941695,0.99627125,2.0981602e-06,0.00016304036
2020-12-07,1.0,0.9996062,0.9985032,2.5701497e-06,0.0001968482
2020-12-08,1.0,0.99957854,0.9980888,2.0061304e-06,0.00016085734
2020-12-09,1.0,0.9995695,0.9970806,1.7450658e-06,0.000106305226
2020-12-10,1.0,0.9995084,0.9991366,2.4503945e-06,0.00013650139
2020-12-11,1.0,0.99965346,0.9985049,1.8246199e-06,0.00016778371
2020-12-13,1.0,0.99972826,0.99898523,2.5896256e-06,9.004104e-05
2020-12-14,1.0,0.99950707,0.9992655,3.1327284e-06,8.064223e-05
2020-12-15,1.0,0.9992417,0.99922085,3.5412331e-06,0.000109415996
2020-12-16,1.0,0.999474,0.9995183,4.031586e-06,7.928549e-05
2020-12-17,1.0,0.9995034,0.9992943,5.937815e-06,6.2787934e-05
2020-12-18,1.0,0.99933916,0.9989504,8.61487e-06,4.2684533e-05
2020-12-19,1.0,0.99981755,0.99952435,5.77513e-06,2.1665515e-05
2020-12-20,1.0,0.9997594,0.99881613,4.2908264e-06,3.8520266e-05
2020-12-21,1.0,0.9998621,0.9993556,4.550191e-06,4.2977517e-05
2020-12-22,1.0,0.9997603,0.9996686,1.3992872e-05,1.9401967e-05
2020-12-23,1.0,0.9993772,0.99979264,2.3982902e-05,2.5197385e-05
2020-12-24,1.0,0.9995285,0.99990094,2.6000887e-05,1.1932247e-05
2020-12-25,1.0,0.9998623,0.99963903,1.16829815e-05,1.5606756e-05
2020-12-26,1.0,0.9997954,0.9995459,1.4303103e-05,1.843148e-05
2020-12-27,1.0,0.9998293,0.99969876,1.5337642e-05,1.0923206e-05
2020-12-28,1.0,0.9999323,0.9998778,2.0738977e-05,9.340696e-06
2020-12-29,1.0,0.99988127,0.9998109,2.3562412e-05,1.1878442e-05
