,h0,h1,h2,h3,h4,h5,h6,h7,h8
ciliate,0.007083129208006564,0.004897726188534161,0.0058133186495432235,0.006269751586803195,0.013159794928638599,0.004849563319890503,0.005544067198508886,0.007461320908814466,0.005537579223856266
ciliate_big,0.0004238105404075999,0.0003047605488377682,0.00012696358274513729,0.00016009923865074522,0.0001440327509642976,0.00034581370664132807,0.00017820633508117088,0.00030741887803320935,0.0003425115916162755
ciliate_blue,0.31065472803469596,0.18458245122726466,0.17208337804786936,0.21861824501433214,0.22155136087114677,0.24012451609123056,0.2215746400718629,0.126286676930476,0.14067408181157892
ciliate_green,0.06844559073872827,0.0349222753493919,0.022151931474772135,0.054204832171722984,0.0686146676881362,0.04668016209900296,0.106394841829407,0.026318038934204844,0.15579757409044248
ciliate_round,0.043762871628818784,0.00536097832452571,0.009627057660189862,0.004754513523883128,0.0071153809305007825,0.024702558185204948,0.015017976248710374,0.03483773348049217,0.011089025810058209
closterium,0.35577969587362446,0.22385951368982865,0.2708147795712294,0.21636386996255852,0.05231972558417743,0.21845853487097122,0.1321329647296171,0.17158192924675206,0.15553075463420585
coelastrum_reticulatum,0.03708452101903044,0.0487627621972336,0.14626041385104674,0.06172782815348862,0.027155702286516804,0.9776304977039394,0.1418747870010203,0.025247259956144595,0.15882797362102546
coelosphaerium,0.13697017260256372,0.06818564011325788,0.015582910739539232,0.16510635243901256,0.004655434237150111,0.6822542190372028,0.41901653337818956,0.013800365795069814,0.17114738084560313
coleps,0.0018834611147111814,0.0015447252982864314,0.003968770720799083,0.003427967021894168,0.0008016530118952336,0.0035405914191632302,0.002471329251482758,0.0016536007110288398,0.0013151898863170636
collotheca,0.08399867085333328,0.012290733062595904,0.017552695960276556,0.03412452156919099,0.005538154596711805,0.019626803704916627,0.08772573762986692,0.010677356889592482,0.02264266737625246
conochilus,0.010081699325433227,0.006692935101189901,0.02209659956837857,0.012839753038931112,0.05330480664193998,0.011544399177265397,0.0037593283076175327,0.009142082588064322,0.038353586955038245
cosmarium,0.11377782118524643,0.06968186309588656,0.03435817585520783,0.17171322489075191,0.06673328037455308,0.06306383707054038,0.20600620618724563,0.08475869767971854,0.10727524229289574
cryptophyte,7.329643856980723,3.9384787861339667,1.669271982741907,4.928251599574023,10.0280013733555,7.291435460468199,4.846024044235861,4.9116966342222455,4.13399862290455
cyanobacteria_colonial_blue,0.12940231334459718,0.03324368178874201,0.026769022852713365,0.20152194250027491,0.033555625922749015,0.08688667108245562,0.9869755783133499,0.3612661347787652,0.30350529261963044
cyanobacteria_colonial_clathrate,0.009793052727393262,0.008035924048983793,0.007827210839886401,0.005740179646648906,0.0007438746645607969,0.008006080931114913,0.04949383219528486,0.003254098151452231,0.03036775032760968
cyanobacteria_colonial_probably,0.3357628373807145,0.2474597873925666,0.1439035799704995,1.125451632162136,0.1015669536250189,4.444126892993676,0.6286240246059592,0.07427234266029568,0.3831323894216224
cyanobacteria_filamentous,0.948716396565581,0.6731920817325402,1.401819135683779,0.05279514308080265,0.06219100524208003,2.6678407434717553,0.18871939628564846,0.023374398641346283,0.31798046826402576
cyclops,0.7939187681252842,0.49091499432272323,0.3118953043368244,0.64510544073196,0.9401295092500396,0.6695299413811626,0.7546870641934881,0.5009455905711497,0.7473947946215438
daphnia,0.18056168639820683,0.2771855178731709,0.07210913203928042,0.2199364533197321,0.1769070528176293,0.32786440735061506,0.19379841657640165,0.21769028367824836,0.31239274085942004
daphnia_cucullata,0.0023094881812737882,0.0008841160685164259,0.0013896048936593638,0.007533507778151095,0.00015661812123452047,0.003469318676342404,0.0014609670177649448,0.003479395562693621,0.0011717700935058087
diaphanosoma,0.008061836973319348,0.0018110694414228026,0.0057062964644114395,0.068755362482781,0.0010834831993567623,0.030822828218528622,0.009026453517456486,0.012611662014715658,0.008312857257860113
didinium,0.007572006113120412,0.00291507154537195,0.002905947378419455,0.005981227036216115,0.0012789005412923023,0.0013174113731623752,0.006961437893143819,0.005770186152271221,0.002555929754983428
dinobryon,2.263291877323955,0.3638991788830825,0.04170120892443765,1.8552835374473915,0.08025557361209734,0.13860685650543947,0.20281734276663102,0.0922773400633365,2.5229219510123366
dinoflagellate_diamond,0.18463573830888821,0.06579367741163453,0.028070647748556082,0.002729971954397947,0.10182254167633129,0.03458682938252334,0.01204715126260322,0.24997184162431532,0.007584728334189468
dolichospermum,0.18829048981048654,0.04363972307535744,0.0336831290048201,0.02063260261539689,0.013475327715663413,0.07946640409425153,0.04156117111516266,0.008872234971415276,0.09638442985406837
eudiaptomus,0.20230411386530595,0.2395694672534645,0.19182202519496183,0.19534703162904699,0.23746773246634534,0.3013381904443734,0.20613193505010163,0.18182660025782335,0.21549830445344084
fragilaria,0.20004273744226234,0.25256767892142057,0.04327011831849166,0.04135974541140224,0.015324841145403717,0.03433185772581244,0.8835356028427211,0.02245838212386086,0.41046960920937503
gonium,0.026431705675654227,0.004654975944253532,0.0031368986052298007,0.007104340687500099,0.0012476933726444164,0.005431244143305281,0.06677739548555309,0.001614300313848442,0.008220600953132536
gymnodinium,0.48202983796408005,0.07337374869689302,0.07278156353524907,0.15174288112834783,0.1387797406404547,0.13905691975657397,0.12559019831986112,0.16426648443862163,0.08671133971671208
kellicottia,0.1676572983303938,0.0712065738316965,0.07918339720502122,0.06710348992244444,0.1596114542806094,0.09295940926868765,0.08083168187283427,0.13509709989698498,0.1389736791810902
keratella_cochlearis,0.15625166015457798,0.08165827978429502,0.07833490811350918,0.09798493289617831,0.0505143252617889,0.053022652945121186,0.0934625078793988,0.05611691530839599,0.12573818654466326
keratella_quadrata,0.16888591627234747,0.0710706933781316,0.04123995826152873,0.051064812692335794,0.09094173540284725,0.03298334977723138,0.07379566598103222,0.06706983974630813,0.2977118146318608
leptodora,0.005395635567184508,0.0039326609256146545,0.00332855005000243,0.012138387666374505,0.0007172231300542562,0.02341665673471916,0.004336942642608065,0.006741003288634196,0.009535707288189744
limnoraphis,0.009785985293143213,0.00210713228918963,0.0038893171100377226,0.008112054893860987,0.0003362317429010938,0.008455936253514826,0.005838944584818287,0.006645878731052648,0.00245125840313812
mallomonas_akrokomos,0.06492985393166636,0.009654257902971862,0.08182829441176032,0.06120832701142555,0.0792927882207312,0.044191927219448784,0.1617945263016189,0.24730985659188107,0.19663429722668566
mallomonas_big,0.6090885347136809,0.17188314315437622,0.15443542529351761,0.2885162479796563,0.042020151793331816,0.2566209703185155,0.46554223317518323,0.5637015708868942,0.35746947161290704
nauplius,1.2095872192019974,0.6092504411042843,0.45962084845241846,0.8437373252919207,1.7952271503275647,0.6600402028586395,0.6744183777898572,0.7366502348612285,0.8834005066305203
oocystaceae,0.38488781522193094,0.24501263409426466,0.06576117624337492,1.8428528527855745,0.1368240225928673,0.7339792698714486,0.5834187935458378,0.4530089154844209,0.1261930259390169
pandorina,0.12304071623802337,0.0370300490609177,0.03003476996149831,0.01806823656684756,0.02296403829617694,0.017031638536165097,0.07192502906484141,0.028514381174060122,0.060069175730412185
paradileptus,0.06269169318508112,0.03553787442473798,0.012899607906239525,0.01806820412038069,0.005796707742490468,0.03293587977587652,0.0769920521708384,0.01920544701920337,0.07082104168768584
pediastrum,0.028697253863866765,0.018380183866290208,0.0295940822699323,0.026896205371664723,0.007141218588657062,0.05628844277506084,0.07658953008566091,0.025517168743060172,0.036740478870148814
pennate_diatom,1.4151685662313553,0.0558902095252283,0.10639094379944568,0.013024648891977311,0.09550391752167331,0.20403133013297137,0.9130362301170711,0.05237561603564309,0.10186356101047876
peridinium,0.1865689418622199,0.0271769918120398,0.04886264798001987,0.15571806933429366,0.01492218763443038,0.03811184179162724,0.10254771243216883,0.06797451898551533,0.032719808622985416
phacotus,0.28983575292316,0.09671589274818373,0.021474878524548723,0.11927464357933501,0.034289123161125236,0.109980196187344,0.21445004910507376,0.08233794481617387,0.25005243812240124
plankton_x,0.00043313605245908805,0.0003090641053423936,0.0003741150697137192,0.0007171785609807984,0.00035348249757568526,0.00042798491162517245,0.0007796712227846316,0.00031104191086523823,0.00038241317264965923
plankton_y,0.05735805162786329,0.011643390239936536,0.02989272072014892,0.01911885757675494,0.018585740725918655,0.02693361488468879,0.014431646543244823,0.02752554818822455,0.015176230453008036
plankton_z,0.18049477043383166,0.001704178891243814,0.006729206771189947,0.01790210171918494,0.004217962708962882,0.03233701046430105,0.016148864881731412,0.004956137334932274,0.02045884178099684
planktosphaeria,0.027958428762503307,0.015642916166245188,0.0036060401587372512,0.00688994616464075,0.0030146511476840947,0.01928881971618845,0.011099715455301674,0.031570660126421665,0.03219070109911133
polyarthra,0.04272635213743448,0.009203345574854303,0.013805183179424594,0.01450399744911154,0.12344842317246356,0.011834393278489706,0.08288510586397127,0.08001544027743815,0.13122739712342804
protist_like_ciliate,0.3889167857206433,0.04193749902020436,0.05412350376467702,0.19564407394119776,0.06300738001228476,0.1160458257925459,0.15600250999536586,0.12548230744011385,0.09576819375441809
rhodomonas,1.6528490155458064,0.7080123584939202,0.5112339930064912,0.8969138704213969,2.695530177015273,1.6234780654517342,0.6297456894283404,1.6365231764638546,0.7747403240685883
rotifer,1.7211829287999125,0.50279716698865,0.3945448374622611,0.7822192074223258,1.909717908177949,0.6111393480058132,1.3055591027888742,1.0896587951368748,3.46467773676934
rotifer_long,0.00319442844455501,0.0010011027225107817,0.0021895199997711877,0.003421763594644157,0.0018353113645896877,0.001305980720194433,0.004514286632869678,0.001759378504109712,0.001961134394660247
rotifer_z,0.0018787131499805512,0.0011899929886252764,0.0009416084429262242,0.0029799411258948157,0.0005323405891058525,0.0005494960059249046,0.0031167321545490343,0.0009685119518683668,0.0022469478686065834
scenedesmus,0.04469778430463688,0.007680735254283894,0.021221263292907033,0.03443198652906695,0.005457974048017998,0.04386302710192833,0.05625245496464912,0.008700179898684922,0.029320618069291288
snowella,0.0011093730708827553,0.00017326484210745418,0.00021065518745203948,0.0034487195550924445,9.504633117471211e-05,0.0006276505171419779,0.0007325757716486215,0.0030495722168800018,0.0002398353389678155
staurastrum,0.11438062572060283,0.0611957738606098,0.09167148697693141,0.06304900328973731,0.07776890046239797,0.062051159931352975,0.09924130803204961,0.033322752131225944,0.07966421926075487
strombidium,0.10191981333679455,0.029501413588198168,0.031187626170274627,0.06225103219872252,0.06930889456856243,0.046118995356956884,0.05061264304067258,0.044694998433608135,0.03985445457655631
synchaeta,0.1038930677624116,0.03819621800621505,0.019960225791133247,0.0247825068169689,0.01941489283661438,0.014548344281477983,0.02690460105110732,0.34450449155808877,0.1889609957156906
synedra,0.06407780776992293,0.03656877996518787,0.009813008912837866,0.03586088471704097,0.045688358150546095,0.018709875837647178,0.01718530647867216,0.009734436653837494,0.04856062667897001
synedra_angustissima,0.11711686546914664,0.01685011074473884,0.006551795037783072,0.002001620988168859,0.0024752651727185733,0.030731249998125168,0.032607691589454466,0.11091381787234005,0.025214614936461197
synura,0.008339394352754341,0.003651440869116664,0.007841479898994756,0.0028332123707001636,0.0010052219801269344,0.007427002782750407,0.002432140207058239,0.0007611687454866213,0.005742059725510476
tetraedron,0.04563168779739569,0.01241819468310795,0.01919815635159989,0.06103512969803184,0.014236748787551698,0.06206695361946382,0.04868315983078747,0.023704779840056686,0.01930676634089996
tintinnid,0.07870033446415203,0.0297441254867039,0.029576329560558518,0.019258418641398302,0.02538652541267558,0.03435914606785438,0.026054113798098827,0.053377919798299485,0.027723767910654857
trichocerca,0.02418521268759469,0.01572859040893256,0.010323351681054558,0.04234429560250149,0.01953446647488957,0.016952488608262255,0.03546370496379033,0.01906253801077193,0.022550838415290035
uroglena,0.019503811553346607,0.15661310693702707,0.015184619474340648,0.495206465662228,0.04512781219081469,0.19381297209030174,0.05623505867713368,0.004220893830853811,0.8852994875648607
vorticella_epistylis_like,0.058974616761852186,0.021456642748804225,0.022148730111371626,0.020904256118097736,0.009481782808617504,0.019643404327997414,0.0313526993152113,0.044164637150315496,0.012921296834941592
